1663890428.248518 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:48401 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,720ms,0) uid:20001 ino:6826024 sk:39f3 1663890428.248595 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130060 lastrcv:61130060 lastack:61130060 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                     
1663890428.248641 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:50631 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,908ms,0) uid:20001 ino:6826025 sk:39f7 1663890428.248653 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130060 lastrcv:61130060 lastack:61130060 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                     
1663890428.248669 tcp   ESTAB    0      47248           192.168.10.2:47418 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,280ms,0) uid:20001 ino:6826025 sk:39f4 1663890428.248684 	 ts sack pcc wscale:7,7 rto:280 rtt:63.69/7.233 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:46 bytes_sent:72989 bytes_retrans:8568 bytes_acked:17174 segs_out:56 segs_in:16 data_segs_out:53 send 8250966bps lastrcv:276 pacing_rate 4240000bps delivery_rate 2943280bps delivered:30 busy:276ms unacked:34 retrans:6/6 lost:6 sacked:16 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.265                 
1663890428.248726 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:35557 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,908ms,0) uid:20001 ino:6826025 sk:39f8 1663890428.248738 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130060 lastrcv:61130060 lastack:61130060 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                     
1663890428.248776 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35957 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,716ms,0) uid:20001 ino:6826024 sk:39f5 1663890428.248790 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130064 lastrcv:61130064 lastack:61130064 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                     
1663890428.248804 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:48205 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,904ms,0) uid:20001 ino:6826025 sk:39f9 1663890428.248817 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130064 lastrcv:61130064 lastack:61130064 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                     
1663890428.248858 tcp   ESTAB    0      50104           192.168.10.2:47416 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,256ms,0) uid:20001 ino:6826024 sk:39f2 1663890428.248874 	 ts sack pcc wscale:7,7 rto:264 rtt:60.49/0.729 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:42 bytes_sent:70133 bytes_retrans:5712 bytes_acked:14318 segs_out:54 segs_in:18 data_segs_out:51 send 7932022bps lastsnd:20 lastrcv:344 lastack:8 pacing_rate 4000000bps delivery_rate 3732720bps delivered:32 busy:216ms unacked:36 retrans:2/4 lost:2 sacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:60
1663890428.248888 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:43761 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,716ms,0) uid:20001 ino:6826024 sk:39f6 1663890428.248901 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130064 lastrcv:61130064 lastack:61130064 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                     
1663890428.248914 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:48401 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,712ms,0) uid:20001 ino:6826024 sk:39f3 1663890428.248926 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                   
1663890428.248964 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:50631 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,900ms,0) uid:20001 ino:6826025 sk:39f7 1663890428.248981 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                   
1663890428.248996 mptcp ESTAB    0      47248           192.168.10.2:47418 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,276ms,0) uid:20001 ino:6826025 sk:39f4 1663890428.249009 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:1200000022 rcv_nxt:600000006                                                                                                                                                                                                                                                                                             
1663890428.249049 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:35557 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,900ms,0) uid:20001 ino:6826025 sk:39f8 1663890428.249063 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                   
1663890428.249102 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:35957 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,712ms,0) uid:20001 ino:6826024 sk:39f5 1663890428.249117 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                   
1663890428.249130 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:48205 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,900ms,0) uid:20001 ino:6826025 sk:39f9 1663890428.249144 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                   
1663890428.249185 mptcp ESTAB    0      28472           192.168.10.2:47416 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,260ms,0) uid:20001 ino:6826024 sk:39f2 1663890428.249198 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:10                                                                                                                                                                                                                                                                                                                                         
1663890428.249211 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:43761 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,712ms,0) uid:20001 ino:6826024 sk:39f6 1663890428.249225 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                   
1663890428.395410 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:48401 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,572ms,0) uid:20001 ino:6826024 sk:39f3 1663890428.395485 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130208 lastrcv:61130208 lastack:61130208 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                            
1663890428.395536 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:50631 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,760ms,0) uid:20001 ino:6826025 sk:39f7 1663890428.395547 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130208 lastrcv:61130208 lastack:61130208 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                            
1663890428.395558 tcp   ESTAB    0      58424           192.168.10.2:47418 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,276ms,0) uid:20001 ino:6826025 sk:39f4 1663890428.395570 	 ts sack pcc wscale:7,7 rto:276 rtt:62.034/1.793 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:42 bytes_sent:127973 bytes_retrans:14280 bytes_acked:67278 segs_out:96 segs_in:31 data_segs_out:93 send 7734597bps lastsnd:4 lastrcv:424 pacing_rate 4000000bps delivery_rate 2343200bps delivered:65 busy:424ms unacked:34 retrans:2/10 lost:2 sacked:15 rcv_space:14280 rcv_ssthresh:64108 notsent:12008 minrtt:60
1663890428.395608 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:35557 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,760ms,0) uid:20001 ino:6826025 sk:39f8 1663890428.395623 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130208 lastrcv:61130208 lastack:61130208 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                            
1663890428.395664 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35957 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,572ms,0) uid:20001 ino:6826024 sk:39f5 1663890428.395678 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130208 lastrcv:61130208 lastack:61130208 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                            
1663890428.395692 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:48205 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=6)) timer:(on,760ms,0) uid:20001 ino:6826025 sk:39f9 1663890428.395704 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130208 lastrcv:61130208 lastack:61130208 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                            
1663890428.395741 tcp   ESTAB    0      52704           192.168.10.2:47416 192.168.3.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,260ms,0) uid:20001 ino:6826024 sk:39f2 1663890428.395752 	 ts sack pcc wscale:7,7 rto:264 rtt:62.596/2.842 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:42 bytes_sent:145781 bytes_retrans:8656 bytes_acked:85630 segs_out:109 segs_in:37 data_segs_out:106 send 7665154bps lastrcv:488 lastack:4 pacing_rate 4000000bps delivery_rate 3698696bps delivered:77 busy:360ms unacked:37 retrans:3/7 lost:3 sacked:14 rcv_space:14280 rcv_ssthresh:64108 notsent:1208 minrtt:60 
1663890428.395765 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:43761 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,572ms,0) uid:20001 ino:6826024 sk:39f6 1663890428.395778 	 pcc rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61130208 lastrcv:61130208 lastack:61130208 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                            
1663890428.395793 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:48401 192.168.4.1:5101 users:(("iperf3",pid=15876,fd=4)) timer:(on,568ms,0) uid:20001 ino:6826024 sk:39f3 1663890428.395807 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                          
