1663888474.110569 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:54455 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,996ms,0) uid:20001 ino:6340228 sk:34e8 1663888474.110583 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59175924 lastrcv:59175924 lastack:59175924 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                   
1663888474.110645 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:44643 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,868ms,0) uid:20001 ino:6340229 sk:34e3 1663888474.110658 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                 
1663888474.110672 mptcp ESTAB    0      28560           192.168.10.2:45738 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,156ms,0) uid:20001 ino:6340228 sk:34e1 1663888474.110685 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                                                       
1663888474.110698 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:46707 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,868ms,0) uid:20001 ino:6340229 sk:34e4 1663888474.110712 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                 
1663888474.110752 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:47839 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,868ms,0) uid:20001 ino:6340229 sk:34e5 1663888474.110766 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                 
1663888474.110779 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:60435 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,992ms,0) uid:20001 ino:6340228 sk:34e6 1663888474.110792 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                 
1663888474.110806 mptcp ESTAB    0      21420           192.168.10.2:45740 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,260ms,0) uid:20001 ino:6340229 sk:34e2 1663888474.110819 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:30000000f rcv_nxt:200000002                                                                                                                                                                                                                                                                                            
1663888474.110833 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:32841 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,988ms,0) uid:20001 ino:6340228 sk:34e7 1663888474.110846 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                 
1663888474.110886 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:54455 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,988ms,0) uid:20001 ino:6340228 sk:34e8 1663888474.110897 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                 
1663888474.255482 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:44643 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,728ms,0) uid:20001 ino:6340229 sk:34e3 1663888474.255555 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59176068 lastrcv:59176068 lastack:59176068 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                             
1663888474.255575 tcp   ESTAB    0      28560           192.168.10.2:45738 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,112ms,0) uid:20001 ino:6340228 sk:34e1 1663888474.255587 	 ts sack lia wscale:7,7 rto:312 rtt:62.009/3.067 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 ssthresh:20 bytes_sent:98569 bytes_acked:70010 segs_out:73 segs_in:25 data_segs_out:70 send 3684626bps lastsnd:24 lastrcv:396 lastack:24 pacing_rate 4421488bps delivery_rate 3704456bps delivered:51 busy:396ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.328                                      
1663888474.255599 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:46707 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,728ms,0) uid:20001 ino:6340229 sk:34e4 1663888474.255609 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59176068 lastrcv:59176068 lastack:59176068 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                             
1663888474.255642 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:47839 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,728ms,0) uid:20001 ino:6340229 sk:34e5 1663888474.255653 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59176068 lastrcv:59176068 lastack:59176068 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                             
1663888474.255663 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:60435 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,852ms,0) uid:20001 ino:6340228 sk:34e6 1663888474.255675 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59176068 lastrcv:59176068 lastack:59176068 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                             
1663888474.255687 tcp   ESTAB    0      12852           192.168.10.2:45740 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,,0) uid:20001 ino:6340229 sk:34e2 1663888474.255698 	 ts sack lia wscale:7,7 rto:264 rtt:60.972/1.423 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:5 ssthresh:3 bytes_sent:48589 bytes_retrans:4284 bytes_acked:31454 segs_out:38 segs_in:17 data_segs_out:35 send 936823bps lastsnd:24 lastrcv:332 lastack:24 pacing_rate 2023528bps delivery_rate 1100560bps delivered:28 busy:268ms unacked:9 retrans:1/3 lost:1 sacked:4 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.161
1663888474.255715 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:32841 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,852ms,0) uid:20001 ino:6340228 sk:34e7 1663888474.255728 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59176068 lastrcv:59176068 lastack:59176068 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                             
1663888474.255763 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:54455 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,848ms,0) uid:20001 ino:6340228 sk:34e8 1663888474.255776 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59176072 lastrcv:59176072 lastack:59176072 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                             
1663888474.255837 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:44643 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,724ms,0) uid:20001 ino:6340229 sk:34e3 1663888474.255849 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                           
1663888474.255861 mptcp ESTAB    0      28560           192.168.10.2:45738 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,108ms,0) uid:20001 ino:6340228 sk:34e1 1663888474.255875 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                                                                 
1663888474.255889 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:46707 192.168.4.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,724ms,0) uid:20001 ino:6340229 sk:34e4 1663888474.255906 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                           
1663888474.255948 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:47839 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,724ms,0) uid:20001 ino:6340229 sk:34e5 1663888474.255962 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                           
1663888474.255976 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:60435 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=4)) timer:(on,844ms,0) uid:20001 ino:6340228 sk:34e6 1663888474.255987 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                           
1663888474.255998 mptcp ESTAB    0      12852           192.168.10.2:45740 192.168.3.1:5101 users:(("iperf3",pid=9982,fd=6)) timer:(on,236ms,0) uid:20001 ino:6340229 sk:34e2 1663888474.256011 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:400000009 rcv_nxt:100000001                                                                                                                                                                                                                                                                                                      
