1663890344.406530 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:45637 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,1sec,0) uid:20001 ino:6576998 sk:39c3 1663890344.406540 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                         
1663890344.406551 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:45563 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,876ms,0) uid:20001 ino:6576999 sk:39c0 1663890344.406564 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                        
1663890344.406578 mptcp ESTAB    0      28560           192.168.10.2:47344 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,164ms,0) uid:20001 ino:6576998 sk:39be 1663890344.406591 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                              
1663890344.406604 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:59695 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,996ms,0) uid:20001 ino:6576998 sk:39c4 1663890344.406617 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                        
1663890344.406657 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:37039 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,872ms,0) uid:20001 ino:6576999 sk:39c1 1663890344.406672 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                        
1663890344.550910 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:59317 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,736ms,0) uid:20001 ino:6576999 sk:39bf 1663890344.550984 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046364 lastrcv:61046364 lastack:61046364 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890344.551004 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:41995 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,860ms,0) uid:20001 ino:6576998 sk:39c2 1663890344.551017 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046364 lastrcv:61046364 lastack:61046364 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890344.551028 tcp   ESTAB    0      21420           192.168.10.2:47346 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,248ms,0) uid:20001 ino:6576999 sk:39bd 1663890344.551038 	 ts sack olia wscale:7,7 rto:264 rtt:60.804/3.341 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:4 ssthresh:5 bytes_sent:27169 bytes_retrans:4284 bytes_acked:1466 segs_out:23 segs_in:11 data_segs_out:20 send 751530bps lastsnd:16 lastrcv:324 lastack:16 pacing_rate 3381840bps delivery_rate 746152bps delivered:15 busy:260ms unacked:15 retrans:1/3 lost:1 sacked:12 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.316    
1663890344.551049 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:45637 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,860ms,0) uid:20001 ino:6576998 sk:39c3 1663890344.551060 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046364 lastrcv:61046364 lastack:61046364 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
1663890344.551071 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:45563 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,736ms,0) uid:20001 ino:6576999 sk:39c0 1663890344.551088 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046364 lastrcv:61046364 lastack:61046364 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                      
