1663890489.689701 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:49309 192.168.4.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,992ms,0) uid:20001 ino:6821759 sk:3a20 1663890489.689713 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                        
1663890489.689725 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:41053 192.168.4.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,992ms,0) uid:20001 ino:6821759 sk:3a21 1663890489.689735 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                        
1663890489.689778 mptcp ESTAB    0      14280           192.168.10.2:47470 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,156ms,0) uid:20001 ino:6821759 sk:3a1d 1663890489.689792 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                                               
1663890489.689844 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:50629 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=6)) timer:(on,868ms,0) uid:20001 ino:6821760 sk:3a22 1663890489.689855 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                        
1663890489.689869 mptcp ESTAB    0      14280           192.168.10.2:47472 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=6)) timer:(on,124ms,0) uid:20001 ino:6821760 sk:3a1e 1663890489.689880 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                                               
1663890489.834443 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35057 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,852ms,0) uid:20001 ino:6821759 sk:3a1f 1663890489.834517 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191648 lastrcv:61191648 lastack:61191648 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                  
1663890489.834584 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:49309 192.168.4.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,852ms,0) uid:20001 ino:6821759 sk:3a20 1663890489.834601 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191648 lastrcv:61191648 lastack:61191648 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                  
1663890489.834613 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:41053 192.168.4.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,852ms,0) uid:20001 ino:6821759 sk:3a21 1663890489.834624 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191648 lastrcv:61191648 lastack:61191648 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                  
1663890489.834666 tcp   ESTAB    0      14280           192.168.10.2:47470 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,108ms,0) uid:20001 ino:6821759 sk:3a1d 1663890489.834677 	 ts sack lia wscale:7,7 rto:316 rtt:63.982/7.695 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:10 bytes_sent:55729 bytes_acked:41450 segs_out:43 segs_in:18 data_segs_out:40 send 1785502bps lastsnd:28 lastrcv:396 lastack:28 pacing_rate 2142592bps delivery_rate 1887888bps delivered:31 busy:396ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.266                                           
1663890489.834711 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:50629 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=6)) timer:(on,728ms,0) uid:20001 ino:6821760 sk:3a22 1663890489.834723 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191648 lastrcv:61191648 lastack:61191648 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                  
1663890489.834734 tcp   ESTAB    0      14280           192.168.10.2:47472 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=6)) timer:(on,240ms,0) uid:20001 ino:6821760 sk:3a1e 1663890489.834747 	 ts sack lia wscale:7,7 rto:264 rtt:60.627/1.074 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:4 ssthresh:5 bytes_sent:44305 bytes_retrans:5712 bytes_acked:24314 segs_out:35 segs_in:16 data_segs_out:32 send 753724bps lastsnd:24 lastrcv:332 lastack:24 pacing_rate 2261136bps delivery_rate 756240bps delivered:23 busy:268ms unacked:10 retrans:4/4 lost:6 sacked:4 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.224
1663890489.834760 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:35057 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,848ms,0) uid:20001 ino:6821759 sk:3a1f 1663890489.834773 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                
1663890489.834841 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:49309 192.168.4.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,848ms,0) uid:20001 ino:6821759 sk:3a20 1663890489.834853 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                
1663890489.834864 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:41053 192.168.4.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,844ms,0) uid:20001 ino:6821759 sk:3a21 1663890489.834880 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                
1663890489.834921 mptcp ESTAB    0      14280           192.168.10.2:47470 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,100ms,0) uid:20001 ino:6821759 sk:3a1d 1663890489.834934 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                                                                                       
1663890489.834975 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:50629 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=6)) timer:(on,720ms,0) uid:20001 ino:6821760 sk:3a22 1663890489.834989 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                
1663890489.835002 mptcp ESTAB    0      12852           192.168.10.2:47472 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=6)) timer:(on,264ms,0) uid:20001 ino:6821760 sk:3a1e 1663890489.835016 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:400000009 rcv_nxt:500000005                                                                                                                                                                                                                                                                                                           
1663890489.979259 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35057 192.168.3.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,708ms,0) uid:20001 ino:6821759 sk:3a1f 1663890489.979335 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191792 lastrcv:61191792 lastack:61191792 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                    
1663890489.979400 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:49309 192.168.4.1:5101 users:(("iperf3",pid=17111,fd=4)) timer:(on,708ms,0) uid:20001 ino:6821759 sk:3a20 1663890489.979417 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61191792 lastrcv:61191792 lastack:61191792 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                    
