1663890069.360886 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:46039 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,872ms,0) uid:20001 ino:6220695 sk:390f 1663890069.360899 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                         
1663890069.360912 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:37623 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,872ms,0) uid:20001 ino:6220695 sk:3910 1663890069.360925 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                         
1663890069.501029 tcp   ESTAB    0      0               192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) uid:20001 ino:6220695 sk:390c 1663890069.501091 	 ts sack reno wscale:7,7 rto:264 rtt:60.384/22.67 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:37 bytes_acked:38 segs_out:4 segs_in:4 data_segs_out:1 send 1891892bps lastsnd:324 lastrcv:324 lastack:264 pacing_rate 3783776bps delivery_rate 189424bps delivered:2 busy:60ms rcv_space:14280 rcv_ssthresh:64108 minrtt:60.307                                         
1663890069.501108 tcp   ESTAB    0      0               192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) uid:20001 ino:6220694 sk:390d 1663890069.501121 	 ts sack reno wscale:7,7 rto:264 rtt:60.459/22.797 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:26 bytes_sent:74 bytes_retrans:37 bytes_acked:38 segs_out:5 segs_in:4 data_segs_out:2 send 1889545bps lastsnd:84 lastrcv:388 lastack:24 pacing_rate 3779072bps delivery_rate 31568bps delivered:2 busy:364ms retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.382             
1663890069.501132 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35527 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,976ms,0) uid:20001 ino:6220694 sk:3911 1663890069.501144 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
1663890069.501182 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:41661 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,976ms,0) uid:20001 ino:6220694 sk:3912 1663890069.501196 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
1663890069.501236 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:59011 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,976ms,0) uid:20001 ino:6220694 sk:3913 1663890069.501249 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
1663890069.501262 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:40071 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,736ms,0) uid:20001 ino:6220695 sk:390e 1663890069.501275 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
1663890069.501336 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:46039 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,736ms,0) uid:20001 ino:6220695 sk:390f 1663890069.501348 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
1663890069.501360 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:37623 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,736ms,0) uid:20001 ino:6220695 sk:3910 1663890069.501374 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771316 lastrcv:60771316 lastack:60771316 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                        
1663890069.501387 mptcp ESTAB    0      0               192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) uid:20001 ino:6220695 sk:390c 1663890069.501400 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594                                                                                                                                                                                                                                                                                                                                           
1663890069.501413 mptcp ESTAB    0      0               192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) uid:20001 ino:6220694 sk:390d 1663890069.501426 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594                                                                                                                                                                                                                                                                                                                                           
1663890069.501439 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:35527 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,972ms,0) uid:20001 ino:6220694 sk:3911 1663890069.501452 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                       
1663890069.501495 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:41661 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,972ms,0) uid:20001 ino:6220694 sk:3912 1663890069.501506 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                       
1663890069.501542 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:59011 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,972ms,0) uid:20001 ino:6220694 sk:3913 1663890069.501555 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                       
1663890069.501568 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:40071 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,728ms,0) uid:20001 ino:6220695 sk:390e 1663890069.501581 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                       
1663890069.501647 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:46039 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,728ms,0) uid:20001 ino:6220695 sk:390f 1663890069.501660 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                       
1663890069.501673 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:37623 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,728ms,0) uid:20001 ino:6220695 sk:3910 1663890069.501685 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                       
1663890069.644759 tcp   ESTAB    0      28560           192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,096ms,0) uid:20001 ino:6220695 sk:390c 1663890069.644831 	 ts sack reno wscale:7,7 rto:264 rtt:60.98/8.016 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 ssthresh:26 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:8 data_segs_out:31 send 3746802bps lastsnd:36 lastrcv:464 lastack:36 pacing_rate 4496128bps delivery_rate 1836624bps delivered:12 busy:160ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.307                           
1663890069.644850 tcp   ESTAB    0      8568            192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,096ms,0) uid:20001 ino:6220694 sk:390d 1663890069.644862 	 ts sack reno wscale:7,7 rto:264 rtt:60.532/7.433 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:6 ssthresh:5 bytes_sent:22922 bytes_retrans:37 bytes_acked:14318 segs_out:21 segs_in:8 data_segs_out:18 send 1132360bps lastsnd:36 lastrcv:528 lastack:40 pacing_rate 1358816bps delivery_rate 1872232bps delivered:12 busy:464ms unacked:6 retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.309
1663890069.644873 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35527 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,836ms,0) uid:20001 ino:6220694 sk:3911 1663890069.644884 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771456 lastrcv:60771456 lastack:60771456 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                
1663890069.644923 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:41661 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,836ms,0) uid:20001 ino:6220694 sk:3912 1663890069.644933 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771456 lastrcv:60771456 lastack:60771456 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                
1663890069.644969 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:59011 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,836ms,0) uid:20001 ino:6220694 sk:3913 1663890069.644980 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771456 lastrcv:60771456 lastack:60771456 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                
1663890069.644991 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:40071 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,592ms,0) uid:20001 ino:6220695 sk:390e 1663890069.645002 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771460 lastrcv:60771460 lastack:60771460 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                
1663890069.645062 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:46039 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,592ms,0) uid:20001 ino:6220695 sk:390f 1663890069.645075 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771460 lastrcv:60771460 lastack:60771460 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                
1663890069.645089 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:37623 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,592ms,0) uid:20001 ino:6220695 sk:3910 1663890069.645100 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771460 lastrcv:60771460 lastack:60771460 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                
1663890069.645111 mptcp ESTAB    0      28560           192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,088ms,0) uid:20001 ino:6220695 sk:390c 1663890069.645123 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                                                     
1663890069.645136 mptcp ESTAB    0      8568            192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,088ms,0) uid:20001 ino:6220694 sk:390d 1663890069.645147 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:6                                                                                                                                                                                                                                                                                                                                      
1663890069.645158 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:35527 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,828ms,0) uid:20001 ino:6220694 sk:3911 1663890069.645172 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                               
1663890069.645210 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:41661 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,828ms,0) uid:20001 ino:6220694 sk:3912 1663890069.645223 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                               
1663890069.645265 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:59011 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,828ms,0) uid:20001 ino:6220694 sk:3913 1663890069.645276 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                               
1663890069.645287 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:40071 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,588ms,0) uid:20001 ino:6220695 sk:390e 1663890069.645299 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                               
1663890069.645358 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:46039 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,588ms,0) uid:20001 ino:6220695 sk:390f 1663890069.645370 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                               
1663890069.645383 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:37623 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,588ms,0) uid:20001 ino:6220695 sk:3910 1663890069.645394 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                               
1663890069.790436 tcp   ESTAB    0      39984           192.168.10.2:47110 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=6)) timer:(on,132ms,0) uid:20001 ino:6220695 sk:390c 1663890069.790505 	 ts sack reno wscale:7,7 rto:264 rtt:60.518/0.132 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:28 ssthresh:26 bytes_sent:152833 bytes_acked:112850 segs_out:111 segs_in:42 data_segs_out:108 send 5285568bps lastrcv:608 pacing_rate 6342648bps delivery_rate 5048080bps delivered:81 busy:304ms unacked:28 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.239                                         
1663890069.790525 tcp   ESTAB    0      12852           192.168.10.2:47108 192.168.3.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,128ms,0) uid:20001 ino:6220694 sk:390d 1663890069.790539 	 ts sack reno wscale:7,7 rto:264 rtt:60.331/0.462 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:9 ssthresh:5 bytes_sent:55766 bytes_retrans:37 bytes_acked:42878 segs_out:44 segs_in:19 data_segs_out:41 send 1704199bps lastsnd:4 lastrcv:676 lastack:4 pacing_rate 2045032bps delivery_rate 1515672bps delivered:32 busy:612ms unacked:9 retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.17
1663890069.790551 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:35527 192.168.4.1:5101 users:(("iperf3",pid=9137,fd=4)) timer:(on,688ms,0) uid:20001 ino:6220694 sk:3911 1663890069.790563 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:60771604 lastrcv:60771604 lastack:60771604 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                              
