1663888494.605426 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59196420 lastrcv:59196420 lastack:59196420 unacked:1 rcv_ssthresh:64240
1663888496.049780 	 ts sack olia wscale:7,7 rto:3176 rtt:953.419/555.504 ato:40 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:5 bytes_sent:41 bytes_acked:38 bytes_received:1 segs_out:8 segs_in:6 data_segs_out:2 data_segs_in:1 send 119821bps lastsnd:316 lastrcv:316 lastack:316 pacing_rate 143784bps delivery_rate 189280bps delivered:2 busy:376ms unacked:1 retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.355
1663888496.049803 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59197864 lastrcv:59197864 lastack:59197864 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.049835 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.049867 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.049892 	 subflows:1 add_addr_accepted_max:7 token:9c40 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                                            
1663888496.049918 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.194481 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198008 lastrcv:59198008 lastack:59198008 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.194518 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198008 lastrcv:59198008 lastack:59198008 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.194540 	 ts sack olia wscale:7,7 rto:3176 rtt:953.419/555.504 ato:40 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:5 bytes_sent:41 bytes_acked:38 bytes_received:1 segs_out:8 segs_in:6 data_segs_out:2 data_segs_in:1 send 119821bps lastsnd:460 lastrcv:460 lastack:460 pacing_rate 143784bps delivery_rate 189280bps delivered:2 busy:520ms unacked:1 retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.355
1663888496.194561 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198008 lastrcv:59198008 lastack:59198008 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.194583 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.194613 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.194638 	 subflows:1 add_addr_accepted_max:7 token:9c40 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                                            
1663888496.194660 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.339171 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198152 lastrcv:59198152 lastack:59198152 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.339204 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198152 lastrcv:59198152 lastack:59198152 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.339226 	 ts sack olia wscale:7,7 rto:3176 rtt:953.419/555.504 ato:40 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:5 bytes_sent:41 bytes_acked:38 bytes_received:1 segs_out:8 segs_in:6 data_segs_out:2 data_segs_in:1 send 119821bps lastsnd:604 lastrcv:604 lastack:604 pacing_rate 143784bps delivery_rate 189280bps delivered:2 busy:664ms unacked:1 retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.355
1663888496.339256 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198152 lastrcv:59198152 lastack:59198152 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.339279 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.339304 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.339330 	 subflows:1 add_addr_accepted_max:7 token:9c40 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                                            
1663888496.339352 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.483015 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198296 lastrcv:59198296 lastack:59198296 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.483052 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198296 lastrcv:59198296 lastack:59198296 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.483075 	 ts sack olia wscale:7,7 rto:3176 rtt:953.419/555.504 ato:40 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:5 bytes_sent:41 bytes_acked:38 bytes_received:1 segs_out:8 segs_in:6 data_segs_out:2 data_segs_in:1 send 119821bps lastsnd:748 lastrcv:748 lastack:748 pacing_rate 143784bps delivery_rate 189280bps delivered:2 busy:808ms unacked:1 retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.355
1663888496.483104 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198296 lastrcv:59198296 lastack:59198296 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.483135 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.483161 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.483183 	 subflows:1 add_addr_accepted_max:7 token:9c40 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                                            
1663888496.483205 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.627263 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198440 lastrcv:59198440 lastack:59198440 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.627293 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198440 lastrcv:59198440 lastack:59198440 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.627314 	 ts sack olia wscale:7,7 rto:3176 rtt:953.419/555.504 ato:40 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:5 bytes_sent:41 bytes_acked:38 bytes_received:1 segs_out:8 segs_in:6 data_segs_out:2 data_segs_in:1 send 119821bps lastsnd:892 lastrcv:892 lastack:892 pacing_rate 143784bps delivery_rate 189280bps delivered:2 busy:952ms unacked:1 retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.355
1663888496.627336 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:59198440 lastrcv:59198440 lastack:59198440 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                   
1663888496.627357 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.627377 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.627398 	 subflows:1 add_addr_accepted_max:7 token:9c40 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                                            
1663888496.627427 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                  
1663888496.771327 	 olia rto:2000 backoff:1 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:1 ssthresh:5 segs_out:1 lastsnd:59198584 lastrcv:59198584 lastack:59198584 unacked:1 lost:1 rcv_ssthresh:64240                                                                                                                                                                                                                                          
1663888496.771359 	 olia rto:2000 backoff:1 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:1 ssthresh:5 segs_out:1 lastsnd:59198584 lastrcv:59198584 lastack:59198584 unacked:1 lost:1 rcv_ssthresh:64240                                                                                                                                                                                                                                          
1663888496.771381 	 ts sack olia wscale:7,7 rto:3176 rtt:953.419/555.504 ato:40 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:5 bytes_sent:41 bytes_acked:38 bytes_received:1 segs_out:8 segs_in:6 data_segs_out:2 data_segs_in:1 send 119821bps lastsnd:1036 lastrcv:1036 lastack:1036 pacing_rate 143784bps delivery_rate 189280bps delivered:2 busy:1096ms unacked:1 retrans:0/1 rcv_space:14280 rcv_ssthresh:64108 minrtt:60.355
1663888496.771403 	 olia rto:2000 backoff:1 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:1 ssthresh:5 segs_out:2 lastsnd:59198588 lastrcv:59198588 lastack:59198588 unacked:1 retrans:1/1 lost:1 rcv_ssthresh:64240                                                                                                                                                                                                                              
1663888496.771424 	 subflows:2 add_addr_signal:4 add_addr_accepted:1 add_addr_signal_max:1 write_seq:580000020c snd_una:1 rcv_nxt:1                                                                                                                                                                                                                                                                                                              
1663888496.771446 	 subflows:2 add_addr_signal:4 add_addr_accepted:1 add_addr_signal_max:1 write_seq:580000020c snd_una:1 rcv_nxt:1                                                                                                                                                                                                                                                                                                              
1663888496.771475 	 subflows:1 add_addr_accepted_max:7 token:9c40 write_seq:21800000594 snd_una:1                                                                                                                                                                                                                                                                                                                                                
1663888496.771499 	 subflows:2 add_addr_signal:4 add_addr_accepted:1 add_addr_signal_max:1 write_seq:580000020c snd_una:1 rcv_nxt:100000001                                                                                                                                                                                                                                                                                                      
1663888496.915444 	 olia rto:2000 backoff:1 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:1 ssthresh:5 segs_out:1 lastsnd:59198728 lastrcv:59198728 lastack:59198728 unacked:1 lost:1 rcv_ssthresh:64240                                                                                                                                                                                                                                        
1663888496.915477 	 olia rto:2000 backoff:1 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:1 ssthresh:5 segs_out:1 lastsnd:59198728 lastrcv:59198728 lastack:59198728 unacked:1 lost:1 rcv_ssthresh:64240                                                                                                                                                                                                                                        
