,0
0,50.96958561738255
1,50.90145434078182
2,50.93430289385454
3,50.90156342261915
4,50.36598985139867
5,48.44573505549993
6,46.19418448659581
7,43.146625244031895
8,39.58860840801723
9,35.899645294970234
10,33.684492985215165
11,32.79632254239839
12,32.665283826789285
13,32.562850842437236
14,33.568315716714274
15,34.65779598441963
16,35.61910210298318
17,36.47359643059522
18,37.238143986879685
19,37.925416338081696
20,38.103301093271384
21,37.5152263419585
22,36.696476169646004
23,36.34982704350083
24,35.87633465604479
25,35.810201536620646
26,35.561748700822015
27,35.41794502762546
28,35.66332501986184
29,35.96573199707849
30,36.33454961935903
31,36.79284494375406
32,37.22336479394333
33,37.62855994706265
34,38.010601091432285
35,38.37141772778139
36,38.71273076216568
37,39.036079952635
38,39.34284713333667
39,39.60314946806908
40,39.45591232069446
41,39.27956342220057
42,38.97794763667181
43,38.94753561065737
44,38.9964748979224
45,39.24401544851638
46,39.621993660333274
47,40.33443281142041
48,41.3311451315149
49,42.53795151428835
50,43.52343723978303
51,44.222776047997684
52,44.72045556701068
53,45.21467501586416
54,45.298554416949344
55,45.298554416949344
56,45.298554416949344
57,45.298554416949344
58,45.298554416949344
59,45.29896464167634
60,45.53228113973916
61,46.178139725629464
62,46.98234319764937
63,47.544208177551965
64,48.20639524362447
65,48.62747340484905
66,49.17492403059761
67,49.66154288431465
68,49.87319376425263
69,50.02980540584359
70,50.119828448649216
71,50.119828448649216
72,50.119828448649216
73,50.119828448649216
74,50.119828448649216
75,50.119828448649216
76,50.119828448649216
77,50.119828448649216
78,50.119828448649216
79,50.150954935583385
80,50.29895244252344
81,50.47946826441281
82,50.78108404994157
83,50.81641245073318
84,50.83688077430524
85,50.89322869681109
86,50.97312845816492
87,50.99034654342567
88,50.99052238033367
89,50.99124156562156
90,50.99243159293527
91,50.99243159293527
92,50.99243159293527
93,50.99243159293527
94,50.99243159293527
95,50.99243159293527
96,50.99243159293527
97,50.99243159293527
98,50.99243159293527
99,50.99243159293527
