1663210401.305963 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:46273 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,888ms,0) uid:20001 ino:1116165 sk:218b 1663210401.305974 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
1663210401.305987 mptcp ESTAB    0      28560  192.168.20.2%enp6s0f1:52913 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,056ms,0) uid:20001 ino:1116165 sk:218c 1663210401.305998 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                
1663210401.306011 mptcp ESTAB    0      14280  192.168.20.2%enp6s0f1:54947 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,052ms,0) uid:20001 ino:1116166 sk:218d 1663210401.306024 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                                 
1663210401.306039 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:35853 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,888ms,0) uid:20001 ino:1116165 sk:218e 1663210401.306053 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
1663210401.450834 tcp   ESTAB    0      227052          192.168.10.2:34608 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,068ms,0) uid:20001 ino:1116166 sk:2187 1663210401.450909 	 ts sack olia wscale:7,7 rto:232 rtt:31.947/1.455 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:159 bytes_sent:499209 bytes_acked:275014 segs_out:358 segs_in:79 data_segs_out:355 send 56857170bps lastsnd:4 lastrcv:256 lastack:4 pacing_rate 113713888bps delivery_rate 16742120bps delivered:199 busy:224ms sndbuf_limited:56ms(25.0%) unacked:157 rcv_space:14280 rcv_ssthresh:64108 notsent:2856 minrtt:30.21
1663210401.450951 tcp   ESTAB    0      385824          192.168.10.2:34606 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,076ms,0) uid:20001 ino:1116165 sk:2188 1663210401.450961 	 ts sack olia wscale:7,7 rto:236 rtt:33.247/0.785 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:276 bytes_sent:791129 bytes_acked:405306 segs_out:569 segs_in:115 data_segs_out:566 send 94836346bps lastrcv:288 pacing_rate 189670552bps delivery_rate 46460920bps delivered:291 busy:224ms unacked:276 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.1                                                            
1663210401.450972 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:35489 192.168.3.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,776ms,0) uid:20001 ino:1116166 sk:2189 1663210401.450982 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993468 lastrcv:14993468 lastack:14993468 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                           
1663210401.451035 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:41075 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=6)) timer:(on,776ms,0) uid:20001 ino:1116166 sk:218a 1663210401.451046 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993468 lastrcv:14993468 lastack:14993468 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                           
1663210401.451093 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:46273 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,744ms,0) uid:20001 ino:1116165 sk:218b 1663210401.451107 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14993468 lastrcv:14993468 lastack:14993468 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                           
1663210401.451119 tcp   ESTAB    0      322728 192.168.20.2%enp6s0f1:52913 192.168.4.1:5101 users:(("iperf3",pid=29365,fd=4)) timer:(on,080ms,0) uid:20001 ino:1116165 sk:218c 1663210401.451129 	 ts sack olia wscale:7,7 rto:236 rtt:35.52/0.629 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:230 bytes_sent:669752 bytes_acked:352737 segs_out:480 segs_in:108 data_segs_out:478 send 73972973bps lastrcv:224 pacing_rate 147943856bps delivery_rate 36886056bps delivered:253 busy:192ms unacked:226 rcv_space:14280 rcv_ssthresh:64108 notsent:5712 minrtt:30.194                                              
