1663209624.310419 mptcp ESTAB    0      28560           192.168.10.2:34238 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,068ms,0) uid:20001 ino:1020570 sk:1f83 1663209624.310430 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                 
1663209624.310441 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:50265 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,928ms,0) uid:20001 ino:1020570 sk:1f84 1663209624.310451 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                           
1663209624.310464 mptcp ESTAB    0      28560  192.168.20.2%enp6s0f1:38053 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,064ms,0) uid:20001 ino:1020569 sk:1f85 1663209624.310475 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                 
1663209624.310509 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:56959 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,928ms,0) uid:20001 ino:1020570 sk:1f86 1663209624.310523 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                           
1663209624.455976 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:52387 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,752ms,0) uid:20001 ino:1020569 sk:1f7f 1663209624.455988 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216472 lastrcv:14216472 lastack:14216472 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                      
1663209624.456019 tcp   ESTAB    0      317280          192.168.10.2:34236 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,060ms,0) uid:20001 ino:1020569 sk:1f80 1663209624.456029 	 ts sack reno wscale:7,7 rto:236 rtt:32.474/1.189 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:224 bytes_sent:651205 bytes_acked:333926 segs_out:466 segs_in:103 data_segs_out:463 send 78800764bps lastsnd:16 lastrcv:280 lastack:16 pacing_rate 157599704bps delivery_rate 37920864bps delivered:240 busy:212ms unacked:224 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.19                
1663209624.456040 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:37833 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,752ms,0) uid:20001 ino:1020569 sk:1f81 1663209624.456050 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216472 lastrcv:14216472 lastack:14216472 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                      
1663209624.456060 tcp   ESTAB    0      154416 192.168.20.2%enp6s0f1:45977 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,076ms,0) uid:20001 ino:1020570 sk:1f82 1663209624.456071 	 ts sack reno wscale:7,7 rto:236 rtt:32.598/2.432 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:111 bytes_sent:392812 bytes_acked:244109 segs_out:280 segs_in:71 data_segs_out:278 send 38900055bps lastrcv:184 pacing_rate 77799808bps delivery_rate 32964408bps delivered:172 busy:156ms unacked:107 rcv_space:14280 rcv_ssthresh:64108 notsent:5712 minrtt:30.125                          
1663209624.456103 tcp   ESTAB    0      174344          192.168.10.2:34238 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,072ms,0) uid:20001 ino:1020570 sk:1f83 1663209624.456122 	 ts sack reno wscale:7,7 rto:232 rtt:31.235/0.917 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:124 bytes_sent:388341 bytes_acked:218282 segs_out:283 segs_in:68 data_segs_out:280 send 45352201bps lastrcv:244 pacing_rate 90703312bps delivery_rate 8486040bps delivered:160 busy:208ms sndbuf_limited:48ms(23.1%) unacked:121 rcv_space:14280 rcv_ssthresh:64108 notsent:4284 minrtt:30.205
1663209624.456138 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:50265 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,784ms,0) uid:20001 ino:1020570 sk:1f84 1663209624.456149 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216472 lastrcv:14216472 lastack:14216472 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                      
