1663208385.116169 tcp   SYN-SENT 0      1               192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,984ms,0) uid:20001 ino:871592 sk:1c11 1663208385.116239 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977124 lastrcv:12977124 lastack:12977124 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663208385.265201 mptcp ESTAB    0      14280  192.168.20.2%enp6s0f1:53919 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,056ms,0) uid:20001 ino:871593 sk:1c19 1663208385.265216 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                                  
1663208385.265227 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:50731 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,892ms,0) uid:20001 ino:871592 sk:1c1a 1663208385.265238 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                           
1663208385.265276 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:51387 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,892ms,0) uid:20001 ino:871592 sk:1c1b 1663208385.265287 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                           
1663208385.265301 mptcp ESTAB    0      28560  192.168.20.2%enp6s0f1:39285 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,056ms,0) uid:20001 ino:871592 sk:1c1c 1663208385.265315 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                 
1663208385.265329 mptcp ESTAB    0      28560           192.168.10.2:33644 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,056ms,0) uid:20001 ino:871593 sk:1c1d 1663208385.265343 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                 
1663208385.413807 tcp   ESTAB    0      394128          192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,076ms,0) uid:20001 ino:871592 sk:1c16 1663208385.413881 	 ts sack olia wscale:7,7 rto:236 rtt:32.869/1.288 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:276 bytes_sent:799453 bytes_acked:405326 segs_out:569 segs_in:112 data_segs_out:566 send 95926983bps lastrcv:288 pacing_rate 191850312bps delivery_rate 46444496bps delivered:291 busy:224ms unacked:276 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.104                                 
1663208385.413900 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:55315 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,776ms,0) uid:20001 ino:871593 sk:1c17 1663208385.413912 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977424 lastrcv:12977424 lastack:12977424 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                  
1663208385.413985 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:49651 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,776ms,0) uid:20001 ino:871593 sk:1c18 1663208385.414002 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977424 lastrcv:12977424 lastack:12977424 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                  
1663208385.414014 tcp   ESTAB    0      344148 192.168.20.2%enp6s0f1:53919 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,076ms,0) uid:20001 ino:871593 sk:1c19 1663208385.414024 	 ts sack olia wscale:7,7 rto:236 rtt:33.455/1.477 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:243 bytes_sent:661372 bytes_acked:325793 segs_out:472 segs_in:88 data_segs_out:470 send 82978090bps lastrcv:192 pacing_rate 165954936bps delivery_rate 38828760bps delivered:234 busy:164ms unacked:237 rcv_space:14280 rcv_ssthresh:64108 notsent:8568 minrtt:30.115                     
1663208385.414038 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:50731 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,744ms,0) uid:20001 ino:871592 sk:1c1a 1663208385.414051 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977424 lastrcv:12977424 lastack:12977424 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                  
1663208385.414087 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:51387 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,744ms,0) uid:20001 ino:871592 sk:1c1b 1663208385.414097 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977424 lastrcv:12977424 lastack:12977424 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                  
