1663208385.116169 tcp   SYN-SENT 0      1               192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,984ms,0) uid:20001 ino:871592 sk:1c11 1663208385.116239 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977124 lastrcv:12977124 lastack:12977124 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663208385.414107 tcp   ESTAB    0      322728 192.168.20.2%enp6s0f1:39285 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,076ms,0) uid:20001 ino:871592 sk:1c1c 1663208385.414118 	 ts sack olia wscale:7,7 rto:236 rtt:35.742/0.535 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:226 bytes_sent:657144 bytes_acked:350125 segs_out:466 segs_in:110 data_segs_out:464 send 72235018bps lastsnd:4 lastrcv:232 lastack:4 pacing_rate 144468008bps delivery_rate 35586816bps delivered:250 busy:196ms unacked:215 rcv_space:14280 rcv_ssthresh:64108 notsent:15708 minrtt:30.23
1663208385.414129 tcp   ESTAB    0      208432          192.168.10.2:33644 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,076ms,0) uid:20001 ino:871593 sk:1c1d 1663208385.414142 	 ts sack olia wscale:7,7 rto:236 rtt:33.373/2.71 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:146 bytes_sent:465357 bytes_acked:256926 segs_out:339 segs_in:79 data_segs_out:336 send 49977647bps lastrcv:260 pacing_rate 99954912bps delivery_rate 13237760bps delivered:191 busy:228ms sndbuf_limited:60ms(26.3%) unacked:146 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.199         
1663208385.414155 mptcp ESTAB    0      456960          192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,080ms,0) uid:20001 ino:871592 sk:1c16 1663208385.414168 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:130                                                                                                                                                                                                                                                                                                                      
1663208385.414179 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:55315 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,768ms,0) uid:20001 ino:871593 sk:1c17 1663208385.414191 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                 
1663208385.414284 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:49651 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,768ms,0) uid:20001 ino:871593 sk:1c18 1663208385.414295 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                 
1663208385.414307 mptcp ESTAB    0      368424 192.168.20.2%enp6s0f1:53919 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,076ms,0) uid:20001 ino:871593 sk:1c19 1663208385.414319 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:fe                                                                                                                                                                                                                                                                                                                       
1663208385.414329 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:50731 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,736ms,0) uid:20001 ino:871592 sk:1c1a 1663208385.414343 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                 
1663208385.414378 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:51387 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,736ms,0) uid:20001 ino:871592 sk:1c1b 1663208385.414389 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                 
1663208385.414401 mptcp ESTAB    0      376992 192.168.20.2%enp6s0f1:39285 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,084ms,0) uid:20001 ino:871592 sk:1c1c 1663208385.414416 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:fc                                                                                                                                                                                                                                                                                                                       
1663208385.414428 mptcp ESTAB    0      219856          192.168.10.2:33644 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,076ms,0) uid:20001 ino:871593 sk:1c1d 1663208385.414438 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:9a                                                                                                                                                                                                                                                                                                                       
1663208385.562192 tcp   ESTAB    0      893928          192.168.10.2:33642 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=4)) timer:(on,252ms,0) uid:20001 ino:871592 sk:1c16 1663208385.562263 	 ts sack olia wscale:7,7 rto:252 rtt:49.856/2.432 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:349 ssthresh:349 bytes_sent:2590165 bytes_retrans:474096 bytes_acked:1222142 segs_out:1823 segs_in:236 data_segs_out:1820 send 79969833bps lastrcv:436 pacing_rate 171029176bps delivery_rate 50269000bps delivered:1140 busy:372ms unacked:626 retrans:258/332 lost:258 sacked:277 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.104                     
1663208385.562281 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:55315 192.168.3.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,628ms,0) uid:20001 ino:871593 sk:1c17 1663208385.562293 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977572 lastrcv:12977572 lastack:12977572 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                 
1663208385.562376 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:49651 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,628ms,0) uid:20001 ino:871593 sk:1c18 1663208385.562388 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:12977572 lastrcv:12977572 lastack:12977572 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                 
1663208385.562400 tcp   ESTAB    0      646884 192.168.20.2%enp6s0f1:53919 192.168.4.1:5101 users:(("iperf3",pid=26899,fd=6)) timer:(on,244ms,0) uid:20001 ino:871593 sk:1c19 1663208385.562410 	 ts sack olia wscale:7,7 rto:248 rtt:45.854/2.474 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:266 ssthresh:266 bytes_sent:1993696 bytes_retrans:371280 bytes_acked:975533 segs_out:1405 segs_in:234 data_segs_out:1403 send 66270860bps lastsnd:4 lastrcv:344 lastack:4 pacing_rate 134534456bps delivery_rate 32032336bps delivered:878 busy:316ms unacked:453 retrans:171/260 lost:171 sacked:187 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.115   
