1663210380.106731 tcp   SYN-SENT 0      1               192.168.10.2:34596 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,984ms,0) uid:20001 ino:1113443 sk:2175 1663210380.106743 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14972120 lastrcv:14972120 lastack:14972120 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                         
1663210380.254754 mptcp ESTAB    0      28560           192.168.10.2:34596 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,060ms,0) uid:20001 ino:1113443 sk:217d 1663210380.254768 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                              
1663210380.254783 mptcp ESTAB    0      28560           192.168.10.2:34598 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,060ms,0) uid:20001 ino:1113444 sk:217e 1663210380.254797 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                              
1663210380.254853 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:35467 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,924ms,0) uid:20001 ino:1113444 sk:217f 1663210380.254864 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                        
1663210380.254874 mptcp ESTAB    0      14280  192.168.20.2%enp6s0f1:59089 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,056ms,0) uid:20001 ino:1113444 sk:2180 1663210380.254888 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                               
1663210380.405825 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:54183 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,748ms,0) uid:20001 ino:1113443 sk:2179 1663210380.405904 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14972416 lastrcv:14972416 lastack:14972416 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210380.405924 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:53465 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,748ms,0) uid:20001 ino:1113443 sk:217a 1663210380.405936 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14972416 lastrcv:14972416 lastack:14972416 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210380.405968 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:42681 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,780ms,0) uid:20001 ino:1113444 sk:217b 1663210380.405978 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14972416 lastrcv:14972416 lastack:14972416 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210380.405989 tcp   ESTAB    0      323024 192.168.20.2%enp6s0f1:48439 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,084ms,0) uid:20001 ino:1113443 sk:217c 1663210380.405999 	 ts sack lia wscale:7,7 rto:240 rtt:37.361/2.181 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:228 bytes_sent:685472 bytes_acked:362449 segs_out:487 segs_in:107 data_segs_out:485 send 69716335bps lastrcv:220 pacing_rate 139429864bps delivery_rate 40145992bps delivered:258 busy:188ms unacked:228 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.187                                      
1663210380.406009 tcp   ESTAB    0      329868          192.168.10.2:34596 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,076ms,0) uid:20001 ino:1113443 sk:217d 1663210380.406027 	 ts sack lia wscale:7,7 rto:236 rtt:32.009/1.406 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:232 bytes_sent:646889 bytes_acked:334158 segs_out:468 segs_in:101 data_segs_out:465 send 82800712bps lastrcv:284 pacing_rate 165596896bps delivery_rate 38200632bps delivered:246 busy:220ms unacked:220 rcv_space:14280 rcv_ssthresh:64108 notsent:17136 minrtt:30.192                        
1663210380.406040 tcp   ESTAB    0      201428          192.168.10.2:34598 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,076ms,0) uid:20001 ino:1113444 sk:217e 1663210380.406050 	 ts sack lia wscale:7,7 rto:236 rtt:32.067/1.245 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:145 bytes_sent:439837 bytes_acked:248406 segs_out:325 segs_in:80 data_segs_out:322 send 51656843bps lastrcv:252 pacing_rate 103313280bps delivery_rate 13759640bps delivered:185 busy:220ms sndbuf_limited:48ms(21.8%) unacked:138 rcv_space:14280 rcv_ssthresh:64108 notsent:9996 minrtt:30.23
1663210380.406114 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:35467 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,776ms,0) uid:20001 ino:1113444 sk:217f 1663210380.406124 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14972420 lastrcv:14972420 lastack:14972420 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210380.406135 tcp   ESTAB    0      318588 192.168.20.2%enp6s0f1:59089 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,072ms,0) uid:20001 ino:1113444 sk:2180 1663210380.406145 	 ts sack lia wscale:7,7 rto:236 rtt:33.081/0.836 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:232 bytes_sent:634320 bytes_acked:315733 segs_out:456 segs_in:87 data_segs_out:454 send 80117530bps lastsnd:4 lastrcv:192 lastack:4 pacing_rate 160235056bps delivery_rate 37318088bps delivered:223 busy:164ms unacked:232 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.124                   
1663210380.406182 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:54183 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,740ms,0) uid:20001 ino:1113443 sk:2179 1663210380.406196 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                     
1663210380.406211 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:53465 192.168.3.1:5101 users:(("iperf3",pid=28918,fd=4)) timer:(on,740ms,0) uid:20001 ino:1113443 sk:217a 1663210380.406225 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                     
1663210380.406271 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:42681 192.168.4.1:5101 users:(("iperf3",pid=28918,fd=6)) timer:(on,772ms,0) uid:20001 ino:1113444 sk:217b 1663210380.406285 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                     
