1663201837.859979 Connecting to host 192.168.3.1, port 5102
1663201837.860156 [  4] local 192.168.10.2 port 43896 connected to 192.168.3.1 port 5102
1663201837.860192 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663201843.112199 [  4]   5.50-5.60   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663201843.112224 [  4]   5.60-5.70   sec   816 KBytes  66.9 Mbits/sec    0   14.1 KBytes       
1663201843.112248 [  4]   5.70-5.80   sec  1.41 MBytes   118 Mbits/sec    0   14.1 KBytes       
1663201843.112273 [  4]   5.80-5.90   sec  1.16 MBytes  97.4 Mbits/sec    0   14.1 KBytes       
1663201843.112298 [  4]   5.90-6.00   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201843.112323 [  4]   6.00-6.10   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201843.112347 [  4]   6.10-6.20   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201843.112372 [  4]   6.20-6.30   sec  1004 KBytes  82.3 Mbits/sec    0   14.1 KBytes       
1663201843.112397 [  4]   6.30-6.40   sec  1.25 MBytes   105 Mbits/sec    0   14.1 KBytes       
1663201843.112421 [  4]   6.40-6.50   sec   916 KBytes  75.2 Mbits/sec    0   14.1 KBytes       
1663201843.112445 [  4]   6.50-6.60   sec  1004 KBytes  82.2 Mbits/sec    0   14.1 KBytes       
1663201843.112469 [  4]   6.60-6.70   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201843.112493 [  4]   6.70-6.80   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201843.112517 [  4]   6.80-6.90   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201843.112541 [  4]   6.90-7.00   sec  1004 KBytes  82.2 Mbits/sec    0   14.1 KBytes       
1663201843.112565 [  4]   7.00-7.10   sec  1004 KBytes  82.2 Mbits/sec    0   14.1 KBytes       
1663201843.112588 [  4]   7.10-7.20   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201843.112612 [  4]   7.20-7.30   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201843.112636 [  4]   7.30-7.40   sec   941 KBytes  77.1 Mbits/sec    0   14.1 KBytes       
1663201843.112660 [  4]   7.40-7.50   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201843.112684 [  4]   7.50-7.60   sec  1004 KBytes  82.2 Mbits/sec    0   14.1 KBytes       
1663201843.112708 [  4]   7.60-7.70   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201843.112732 [  4]   7.70-7.80   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201843.112757 [  4]   7.80-7.90   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663201843.112781 [  4]   7.90-8.00   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201843.112805 [  4]   8.00-8.10   sec   816 KBytes  66.8 Mbits/sec    0   14.1 KBytes       
1663201843.112830 [  4]   8.10-8.20   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201843.112854 [  4]   8.20-8.30   sec   879 KBytes  72.0 Mbits/sec    0   14.1 KBytes       
1663201843.112878 [  4]   8.30-8.40   sec  1.04 MBytes  87.3 Mbits/sec    0   14.1 KBytes       
1663201843.112900 [  4]   8.40-8.50   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201843.112923 [  4]   8.50-8.60   sec  1.23 MBytes   103 Mbits/sec    0   14.1 KBytes       
1663201843.112951 [  4]   8.60-8.70   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
1663201843.112975 [  4]   8.70-8.80   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201843.113000 [  4]   8.80-8.90   sec  1.10 MBytes  92.5 Mbits/sec    0   14.1 KBytes       
1663201843.113025 [  4]   8.90-9.00   sec  1.16 MBytes  97.7 Mbits/sec    0   14.1 KBytes       
