1663210212.127431 tcp   SYN-SENT 0      1               192.168.10.2:34516 192.168.3.1:5101 users:(("iperf3",pid=25349,fd=4)) timer:(on,988ms,0) uid:20001 ino:1088670 sk:2106 1663210212.127441 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14804136 lastrcv:14804136 lastack:14804136 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663210212.127548 mptcp SYN-SENT 0      1               192.168.10.2:34516 192.168.3.1:5101 users:(("iperf3",pid=25349,fd=4)) timer:(on,980ms,0) uid:20001 ino:1088670 sk:2106 1663210212.127558 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                        
1663210212.274137 tcp   ESTAB    0      14280  192.168.20.2%enp6s0f1:55345 192.168.4.1:5101 users:(("iperf3",pid=25349,fd=6)) timer:(on,064ms,0) uid:20001 ino:1088671 sk:2109 1663210212.274211 	 ts sack lia wscale:7,7 rto:240 rtt:30.408/15.204 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 bytes_sent:14280 bytes_acked:1 segs_out:12 segs_in:2 data_segs_out:10 send 3756906bps lastsnd:8 lastrcv:36 lastack:8 pacing_rate 7513808bps delivered:1 busy:8ms unacked:10 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.408                                     
1663210212.274258 tcp   ESTAB    0      28560  192.168.20.2%enp6s0f1:54267 192.168.4.1:5101 users:(("iperf3",pid=25349,fd=4)) timer:(on,068ms,0) uid:20001 ino:1088670 sk:210a 1663210212.274270 	 ts sack lia wscale:7,7 rto:232 rtt:30.465/5.011 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42840 bytes_acked:14281 segs_out:32 segs_in:6 data_segs_out:30 send 7499754bps lastsnd:4 lastrcv:68 lastack:4 pacing_rate 14999256bps delivery_rate 3693736bps delivered:11 busy:32ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.293      
1663210212.274304 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:59273 192.168.4.1:5101 users:(("iperf3",pid=25349,fd=6)) timer:(on,932ms,0) uid:20001 ino:1088671 sk:210b 1663210212.274315 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14804284 lastrcv:14804284 lastack:14804284 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                             
1663210212.274325 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:53171 192.168.3.1:5101 users:(("iperf3",pid=25349,fd=4)) timer:(on,896ms,0) uid:20001 ino:1088670 sk:210c 1663210212.274335 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14804288 lastrcv:14804288 lastack:14804288 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                             
1663210212.274346 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:33559 192.168.3.1:5101 users:(("iperf3",pid=25349,fd=6)) timer:(on,928ms,0) uid:20001 ino:1088671 sk:210d 1663210212.274358 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14804288 lastrcv:14804288 lastack:14804288 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                             
1663210212.274369 tcp   ESTAB    0      28560           192.168.10.2:34518 192.168.3.1:5101 users:(("iperf3",pid=25349,fd=6)) timer:(on,068ms,0) uid:20001 ino:1088671 sk:210e 1663210212.274380 	 ts sack lia wscale:7,7 rto:232 rtt:30.864/4.368 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7402799bps lastsnd:4 lastrcv:100 lastack:4 pacing_rate 14805416bps delivery_rate 3557656bps delivered:12 busy:64ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.282     
1663210212.274393 tcp   ESTAB    0      28560           192.168.10.2:34516 192.168.3.1:5101 users:(("iperf3",pid=25349,fd=4)) timer:(on,064ms,0) uid:20001 ino:1088670 sk:210f 1663210212.274408 	 ts sack lia wscale:7,7 rto:232 rtt:30.616/4.012 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:20 bytes_sent:42877 bytes_acked:14318 segs_out:34 segs_in:7 data_segs_out:31 send 7462765bps lastsnd:8 lastrcv:136 lastack:8 pacing_rate 14925160bps delivery_rate 3606400bps delivered:12 busy:68ms unacked:20 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.376     
1663210212.274464 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:36757 192.168.4.1:5101 users:(("iperf3",pid=25349,fd=4)) timer:(on,896ms,0) uid:20001 ino:1088670 sk:2110 1663210212.274474 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14804288 lastrcv:14804288 lastack:14804288 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                             
1663210212.274484 mptcp ESTAB    0      14280  192.168.20.2%enp6s0f1:55345 192.168.4.1:5101 users:(("iperf3",pid=25349,fd=6)) timer:(on,056ms,0) uid:20001 ino:1088671 sk:2109 1663210212.274494 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                                  
1663210212.274529 mptcp ESTAB    0      28560  192.168.20.2%enp6s0f1:54267 192.168.4.1:5101 users:(("iperf3",pid=25349,fd=4)) timer:(on,060ms,0) uid:20001 ino:1088670 sk:210a 1663210212.274540 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                 
1663210212.274581 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:59273 192.168.4.1:5101 users:(("iperf3",pid=25349,fd=6)) timer:(on,924ms,0) uid:20001 ino:1088671 sk:210b 1663210212.274595 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                           
1663210212.274605 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:53171 192.168.3.1:5101 users:(("iperf3",pid=25349,fd=4)) timer:(on,892ms,0) uid:20001 ino:1088670 sk:210c 1663210212.274616 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                           
1663210212.274629 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:33559 192.168.3.1:5101 users:(("iperf3",pid=25349,fd=6)) timer:(on,924ms,0) uid:20001 ino:1088671 sk:210d 1663210212.274640 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                           
1663210212.274650 mptcp ESTAB    0      28560           192.168.10.2:34518 192.168.3.1:5101 users:(("iperf3",pid=25349,fd=6)) timer:(on,064ms,0) uid:20001 ino:1088671 sk:210e 1663210212.274660 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                 
1663210212.274671 mptcp ESTAB    0      28560           192.168.10.2:34516 192.168.3.1:5101 users:(("iperf3",pid=25349,fd=4)) timer:(on,060ms,0) uid:20001 ino:1088670 sk:210f 1663210212.274683 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                 
1663210212.274739 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:36757 192.168.4.1:5101 users:(("iperf3",pid=25349,fd=4)) timer:(on,892ms,0) uid:20001 ino:1088670 sk:2110 1663210212.274754 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                           
