1663209057.359477 mptcp ESTAB    0      28560  192.168.20.2%enp6s0f1:52329 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,060ms,0) uid:20001 ino:824594 sk:1e05 1663209057.359488 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                   
1663209057.359501 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:59047 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,924ms,0) uid:20001 ino:824595 sk:1e06 1663209057.359512 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                             
1663209057.359546 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:37641 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,892ms,0) uid:20001 ino:824594 sk:1e07 1663209057.359559 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                             
1663209057.359573 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:52017 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,924ms,0) uid:20001 ino:824595 sk:1e08 1663209057.359583 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                             
1663209057.503656 tcp   ESTAB    0      220540          192.168.10.2:33964 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,072ms,0) uid:20001 ino:824595 sk:1e01 1663209057.503667 	 ts sack olia wscale:7,7 rto:232 rtt:31.373/0.855 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:155 bytes_sent:485557 bytes_acked:270730 segs_out:348 segs_in:83 data_segs_out:345 send 56440889bps lastrcv:248 pacing_rate 112880424bps delivery_rate 16241488bps delivered:195 busy:212ms sndbuf_limited:52ms(24.5%) unacked:151 rcv_space:14280 rcv_ssthresh:64108 notsent:5712 minrtt:30.207
1663209057.503678 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:56605 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,748ms,0) uid:20001 ino:824594 sk:1e02 1663209057.503689 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649520 lastrcv:13649520 lastack:13649520 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                        
1663209057.503700 tcp   ESTAB    0      318444 192.168.20.2%enp6s0f1:56175 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,076ms,0) uid:20001 ino:824595 sk:1e03 1663209057.503710 	 ts sack olia wscale:7,7 rto:236 rtt:32.187/0.653 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:223 bytes_sent:619752 bytes_acked:301309 segs_out:438 segs_in:85 data_segs_out:436 send 79148476bps lastrcv:188 pacing_rate 158296336bps delivery_rate 38190096bps delivered:214 busy:160ms unacked:223 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.129                                        
1663209057.503727 tcp   ESTAB    0      324156          192.168.10.2:33962 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,076ms,0) uid:20001 ino:824594 sk:1e04 1663209057.503740 	 ts sack olia wscale:7,7 rto:236 rtt:32.772/0.824 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:228 bytes_sent:653981 bytes_acked:346962 segs_out:465 segs_in:98 data_segs_out:462 send 79478579bps lastrcv:284 pacing_rate 158954120bps delivery_rate 39653376bps delivered:247 busy:216ms unacked:216 rcv_space:14280 rcv_ssthresh:64108 notsent:17136 minrtt:30.198                          
1663209057.503751 tcp   ESTAB    0      260240 192.168.20.2%enp6s0f1:52329 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,060ms,0) uid:20001 ino:824594 sk:1e05 1663209057.503764 	 ts sack olia wscale:7,7 rto:236 rtt:35.848/1.255 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:184 bytes_sent:551288 bytes_acked:291049 segs_out:394 segs_in:94 data_segs_out:392 send 58636911bps lastsnd:20 lastrcv:224 lastack:20 pacing_rate 117271368bps delivery_rate 28276464bps delivered:209 busy:184ms unacked:184 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.212                  
1663209057.503776 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:59047 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,780ms,0) uid:20001 ino:824595 sk:1e06 1663209057.503787 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649520 lastrcv:13649520 lastack:13649520 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                        
1663209057.503826 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:37641 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,748ms,0) uid:20001 ino:824594 sk:1e07 1663209057.503838 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649520 lastrcv:13649520 lastack:13649520 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                        
1663209057.503849 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:52017 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,780ms,0) uid:20001 ino:824595 sk:1e08 1663209057.503863 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649520 lastrcv:13649520 lastack:13649520 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                        
1663209057.503957 mptcp ESTAB    0      244188          192.168.10.2:33964 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,076ms,0) uid:20001 ino:824595 sk:1e01 1663209057.503972 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a9                                                                                                                                                                                                                                                                                                                             
1663209057.503990 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:56605 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,740ms,0) uid:20001 ino:824594 sk:1e02 1663209057.504004 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                       
1663209057.504019 mptcp ESTAB    0      354144 192.168.20.2%enp6s0f1:56175 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,080ms,0) uid:20001 ino:824595 sk:1e03 1663209057.504030 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:f6                                                                                                                                                                                                                                                                                                                             
1663209057.504041 mptcp ESTAB    0      394128          192.168.10.2:33962 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,080ms,0) uid:20001 ino:824594 sk:1e04 1663209057.504055 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:10f                                                                                                                                                                                                                                                                                                                            
1663209057.504066 mptcp ESTAB    0      317016 192.168.20.2%enp6s0f1:52329 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,084ms,0) uid:20001 ino:824594 sk:1e05 1663209057.504077 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:de                                                                                                                                                                                                                                                                                                                             
1663209057.504090 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:59047 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,772ms,0) uid:20001 ino:824595 sk:1e06 1663209057.504105 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                       
1663209057.504145 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:37641 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,740ms,0) uid:20001 ino:824594 sk:1e07 1663209057.504157 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                       
1663209057.504170 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:52017 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,772ms,0) uid:20001 ino:824595 sk:1e08 1663209057.504184 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                       
1663209057.647854 tcp   ESTAB    0      908208           192.168.10.2:33964 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,176ms,0) uid:20001 ino:824595 sk:1e01 1663209057.647864 	 ts sack olia wscale:7,7 rto:288 rtt:86.817/3.644 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:636 bytes_sent:1859293 bytes_acked:956798 segs_out:1310 segs_in:181 data_segs_out:1307 send 83689416bps lastsnd:8 lastrcv:392 lastack:8 pacing_rate 167378104bps delivery_rate 40085096bps delivered:676 busy:356ms sndbuf_limited:196ms(55.1%) unacked:632 rcv_space:14280 rcv_ssthresh:64108 notsent:5712 minrtt:30.207
1663209057.647874 tcp   SYN-SENT 0      1       192.168.20.2%enp6s0f1:56605 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,604ms,0) uid:20001 ino:824594 sk:1e02 1663209057.647884 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649664 lastrcv:13649664 lastack:13649664 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                 
1663209057.647895 tcp   ESTAB    0      1236648 192.168.20.2%enp6s0f1:56175 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,196ms,0) uid:20001 ino:824595 sk:1e03 1663209057.647912 	 ts sack olia wscale:7,7 rto:296 rtt:93.167/2.902 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:866 bytes_sent:2450448 bytes_acked:1219513 segs_out:1720 segs_in:197 data_segs_out:1718 send 106187642bps lastrcv:332 pacing_rate 212373568bps delivery_rate 50158560bps delivered:857 busy:304ms unacked:862 rcv_space:14280 rcv_ssthresh:64108 notsent:5712 minrtt:30.129                                              
1663209057.647924 tcp   ESTAB    0      1348032          192.168.10.2:33962 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,188ms,0) uid:20001 ino:824594 sk:1e04 1663209057.647935 	 ts sack olia wscale:7,7 rto:292 rtt:88.059/9.051 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:944 bytes_sent:2693165 bytes_acked:1367982 segs_out:1893 segs_in:199 data_segs_out:1890 send 122466256bps lastrcv:428 pacing_rate 244931120bps delivery_rate 56167328bps delivered:963 busy:360ms unacked:928 rcv_space:14280 rcv_ssthresh:64108 notsent:22848 minrtt:30.198                                             
1663209057.647950 tcp   ESTAB    0      1039584 192.168.20.2%enp6s0f1:52329 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,164ms,0) uid:20001 ino:824594 sk:1e05 1663209057.647961 	 ts sack olia wscale:7,7 rto:280 rtt:76.669/13.61 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:728 bytes_sent:2104952 bytes_acked:1065369 segs_out:1482 segs_in:194 data_segs_out:1480 send 108475029bps lastrcv:368 pacing_rate 216947576bps delivery_rate 35770016bps delivered:753 busy:328ms unacked:728 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.212                                                           
1663209057.647971 tcp   SYN-SENT 0      1       192.168.20.2%enp6s0f1:59047 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,636ms,0) uid:20001 ino:824595 sk:1e06 1663209057.647981 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649664 lastrcv:13649664 lastack:13649664 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                 
1663209057.648012 tcp   SYN-SENT 0      1       192.168.10.2%enp6s0f0:37641 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,604ms,0) uid:20001 ino:824594 sk:1e07 1663209057.648026 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649664 lastrcv:13649664 lastack:13649664 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                 
1663209057.648037 tcp   SYN-SENT 0      1       192.168.10.2%enp6s0f0:52017 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,636ms,0) uid:20001 ino:824595 sk:1e08 1663209057.648048 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649664 lastrcv:13649664 lastack:13649664 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                 
1663209057.648138 mptcp ESTAB    0      913920           192.168.10.2:33964 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,180ms,0) uid:20001 ino:824595 sk:1e01 1663209057.648153 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:278                                                                                                                                                                                                                                                                                                                                                     
1663209057.648168 mptcp SYN-SENT 0      1       192.168.20.2%enp6s0f1:56605 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,596ms,0) uid:20001 ino:824594 sk:1e02 1663209057.648179 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                
1663209057.648191 mptcp ESTAB    0      1319472 192.168.20.2%enp6s0f1:56175 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,204ms,0) uid:20001 ino:824595 sk:1e03 1663209057.648205 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:38d                                                                                                                                                                                                                                                                                                                                                     
1663209057.648219 mptcp ESTAB    0      1428000          192.168.10.2:33962 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,196ms,0) uid:20001 ino:824594 sk:1e04 1663209057.648233 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:3e8                                                                                                                                                                                                                                                                                                                                                     
1663209057.648247 mptcp ESTAB    0      1039584 192.168.20.2%enp6s0f1:52329 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,156ms,0) uid:20001 ino:824594 sk:1e05 1663209057.648261 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:7000002d8                                                                                                                                                                                                                                                                                                                                               
1663209057.648276 mptcp SYN-SENT 0      1       192.168.20.2%enp6s0f1:59047 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,628ms,0) uid:20001 ino:824595 sk:1e06 1663209057.648290 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                
1663209057.648326 mptcp SYN-SENT 0      1       192.168.10.2%enp6s0f0:37641 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,596ms,0) uid:20001 ino:824594 sk:1e07 1663209057.648337 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                
1663209057.648348 mptcp SYN-SENT 0      1       192.168.10.2%enp6s0f0:52017 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,628ms,0) uid:20001 ino:824595 sk:1e08 1663209057.648358 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                
1663209057.791988 tcp   ESTAB    0      692580           192.168.10.2:33964 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,268ms,0) uid:20001 ino:824595 sk:1e01 1663209057.791999 	 ts sack olia wscale:7,7 rto:268 rtt:66.196/4.432 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:320 ssthresh:320 bytes_sent:2517601 bytes_retrans:428400 bytes_acked:1396622 segs_out:1771 segs_in:241 data_segs_out:1768 send 55225089bps lastrcv:536 pacing_rate 100026440bps delivery_rate 23044448bps delivered:1149 busy:500ms sndbuf_limited:340ms(68.0%) unacked:485 retrans:165/300 lost:165 sacked:165 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.207
1663209057.792011 tcp   SYN-SENT 0      1       192.168.20.2%enp6s0f1:56605 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,460ms,0) uid:20001 ino:824594 sk:1e02 1663209057.792023 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649808 lastrcv:13649808 lastack:13649808 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                        
1663209057.792035 tcp   ESTAB    0      1223796 192.168.20.2%enp6s0f1:56175 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,280ms,0) uid:20001 ino:824595 sk:1e03 1663209057.792046 	 ts sack olia wscale:7,7 rto:280 rtt:78.229/5.094 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:465 ssthresh:465 bytes_sent:3421488 bytes_retrans:628320 bytes_acked:1569373 segs_out:2400 segs_in:257 data_segs_out:2398 send 67905253bps lastrcv:476 pacing_rate 149127024bps delivery_rate 45375856bps delivered:1494 busy:448ms unacked:857 retrans:353/440 lost:353 sacked:392 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.129                            
1663209057.792058 tcp   ESTAB    0      1446564          192.168.10.2:33962 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,272ms,0) uid:20001 ino:824594 sk:1e04 1663209057.792069 	 ts sack olia wscale:7,7 rto:304 rtt:102.005/2.289 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:331 ssthresh:506 bytes_sent:3578525 bytes_retrans:665448 bytes_acked:1466514 segs_out:2513 segs_in:252 data_segs_out:2510 send 37070183bps lastsnd:16 lastrcv:572 lastack:16 pacing_rate 136140192bps delivery_rate 40770200bps delivered:1658 busy:504ms unacked:1013 retrans:331/466 lost:387 sacked:626 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.198    
1663209057.792087 tcp   ESTAB    0      738276  192.168.20.2%enp6s0f1:52329 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,276ms,0) uid:20001 ino:824594 sk:1e05 1663209057.792103 	 ts sack olia wscale:7,7 rto:284 rtt:82.797/0.593 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:364 ssthresh:364 bytes_sent:2921768 bytes_retrans:541212 bytes_acked:1642281 segs_out:2054 segs_in:267 data_segs_out:2052 send 50223269bps lastsnd:8 lastrcv:512 lastack:8 pacing_rate 84937520bps delivery_rate 26407128bps delivered:1310 busy:472ms unacked:517 retrans:171/379 lost:171 sacked:153 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.212         
1663209057.792118 tcp   SYN-SENT 0      1       192.168.20.2%enp6s0f1:59047 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,492ms,0) uid:20001 ino:824595 sk:1e06 1663209057.792132 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649808 lastrcv:13649808 lastack:13649808 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                        
1663209057.792172 tcp   SYN-SENT 0      1       192.168.10.2%enp6s0f0:37641 192.168.4.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,460ms,0) uid:20001 ino:824594 sk:1e07 1663209057.792185 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649808 lastrcv:13649808 lastack:13649808 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                        
1663209057.792198 tcp   SYN-SENT 0      1       192.168.10.2%enp6s0f0:52017 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,492ms,0) uid:20001 ino:824595 sk:1e08 1663209057.792210 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13649808 lastrcv:13649808 lastack:13649808 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                        
1663209057.792315 mptcp ESTAB    0      592620           192.168.10.2:33964 192.168.3.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,264ms,0) uid:20001 ino:824595 sk:1e01 1663209057.792329 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:5f0000019f rcv_nxt:6f0000006f                                                                                                                                                                                                                                                                                                                                                
1663209057.792343 mptcp SYN-SENT 0      1       192.168.20.2%enp6s0f1:56605 192.168.3.1:5101 users:(("iperf3",pid=747,fd=4)) timer:(on,452ms,0) uid:20001 ino:824594 sk:1e02 1663209057.792356 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                                                       
1663209057.792368 mptcp ESTAB    0      1108128 192.168.20.2%enp6s0f1:56175 192.168.4.1:5101 users:(("iperf3",pid=747,fd=6)) timer:(on,272ms,0) uid:20001 ino:824595 sk:1e03 1663209057.792380 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:13700000308 rcv_nxt:12900000129                                                                                                                                                                                                                                                                                                                                              
