1663210044.214411 tcp   SYN-SENT 0      1               192.168.10.2:34436 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,988ms,0) uid:20001 ino:1035802 sk:2094 1663210044.214422 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14636224 lastrcv:14636224 lastack:14636224 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                          
1663210044.361832 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f1:36947 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,924ms,0) uid:20001 ino:1035803 sk:209b 1663210044.361844 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
1663210044.361856 mptcp ESTAB    0      14280  192.168.20.2%enp6s0f1:37825 192.168.4.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,056ms,0) uid:20001 ino:1035803 sk:209c 1663210044.361866 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                                 
1663210044.361876 mptcp ESTAB    0      28560           192.168.10.2:34436 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,064ms,0) uid:20001 ino:1035802 sk:209d 1663210044.361887 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                
1663210044.361947 mptcp ESTAB    0      28560           192.168.10.2:34438 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,064ms,0) uid:20001 ino:1035803 sk:209e 1663210044.361959 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                
1663210044.513290 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:58015 192.168.4.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,780ms,0) uid:20001 ino:1035803 sk:2097 1663210044.513309 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14636524 lastrcv:14636524 lastack:14636524 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210044.513321 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:57247 192.168.4.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,748ms,0) uid:20001 ino:1035802 sk:2098 1663210044.513332 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14636524 lastrcv:14636524 lastack:14636524 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210044.513343 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:51143 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,748ms,0) uid:20001 ino:1035802 sk:2099 1663210044.513354 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14636524 lastrcv:14636524 lastack:14636524 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210044.513367 tcp   ESTAB    0      279888 192.168.20.2%enp6s0f1:60067 192.168.4.1:5101 users:(("iperf3",pid=21788,fd=4)) timer:(on,068ms,0) uid:20001 ino:1035802 sk:209a 1663210044.513380 	 ts sack lia wscale:7,7 rto:240 rtt:36.882/2.079 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:196 bytes_sent:588336 bytes_acked:308449 segs_out:415 segs_in:95 data_segs_out:413 send 60709940bps lastsnd:16 lastrcv:220 lastack:16 pacing_rate 121417816bps delivery_rate 28579680bps delivered:218 busy:184ms unacked:196 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.264                 
1663210044.513420 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:36947 192.168.3.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,780ms,0) uid:20001 ino:1035803 sk:209b 1663210044.513434 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14636524 lastrcv:14636524 lastack:14636524 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210044.513455 tcp   ESTAB    0      201420 192.168.20.2%enp6s0f1:37825 192.168.4.1:5101 users:(("iperf3",pid=21788,fd=6)) timer:(on,076ms,0) uid:20001 ino:1035803 sk:209c 1663210044.513467 	 ts sack lia wscale:7,7 rto:236 rtt:32.294/0.572 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:144 bytes_sent:491416 bytes_acked:289997 segs_out:350 segs_in:80 data_segs_out:348 send 50939989bps lastrcv:188 pacing_rate 101877216bps delivery_rate 36708616bps delivered:205 busy:160ms unacked:144 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.132                                       
