1663210548.195127 tcp   SYN-SENT 0      1               192.168.10.2:34676 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,984ms,0) uid:20001 ino:1131942 sk:21e5 1663210548.195139 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15140208 lastrcv:15140208 lastack:15140208 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                            
1663210548.342915 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:48085 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,924ms,0) uid:20001 ino:1131943 sk:21ec 1663210548.342930 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                            
1663210548.342973 mptcp ESTAB    0      14280  192.168.20.2%enp6s0f1:49689 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,056ms,0) uid:20001 ino:1131943 sk:21ed 1663210548.342988 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:a                                                                                                                                                                                                                                                                                                   
1663210548.343024 mptcp ESTAB    0      28560           192.168.10.2:34678 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,060ms,0) uid:20001 ino:1131943 sk:21ee 1663210548.343037 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                  
1663210548.343049 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f0:52887 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,892ms,0) uid:20001 ino:1131942 sk:21ef 1663210548.343061 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                            
1663210548.343075 mptcp ESTAB    0      28560  192.168.20.2%enp6s0f1:45469 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,060ms,0) uid:20001 ino:1131942 sk:21f0 1663210548.343089 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:14                                                                                                                                                                                                                                                                                                  
1663210548.491905 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:58617 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,748ms,0) uid:20001 ino:1131942 sk:21e9 1663210548.491922 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15140504 lastrcv:15140504 lastack:15140504 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210548.491933 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f1:44025 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,780ms,0) uid:20001 ino:1131943 sk:21ea 1663210548.491943 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15140504 lastrcv:15140504 lastack:15140504 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210548.491954 tcp   ESTAB    0      349860          192.168.10.2:34676 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,076ms,0) uid:20001 ino:1131942 sk:21eb 1663210548.491965 	 ts sack lia wscale:7,7 rto:236 rtt:32.97/0.85 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:248 bytes_sent:708061 bytes_acked:363914 segs_out:508 segs_in:107 data_segs_out:505 send 85931210bps lastrcv:284 pacing_rate 171860464bps delivery_rate 41993616bps delivered:262 busy:220ms unacked:244 rcv_space:14280 rcv_ssthresh:64108 notsent:5712 minrtt:30.204                           
1663210548.491975 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:48085 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,780ms,0) uid:20001 ino:1131943 sk:21ec 1663210548.491986 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15140504 lastrcv:15140504 lastack:15140504 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210548.492028 tcp   ESTAB    0      315588 192.168.20.2%enp6s0f1:49689 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,076ms,0) uid:20001 ino:1131943 sk:21ed 1663210548.492040 	 ts sack lia wscale:7,7 rto:236 rtt:32.629/0.942 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:225 bytes_sent:616896 bytes_acked:304165 segs_out:440 segs_in:85 data_segs_out:438 send 78776548bps lastrcv:188 pacing_rate 157548872bps delivery_rate 36873432bps delivered:216 busy:160ms unacked:223 rcv_space:14280 rcv_ssthresh:64108 notsent:2856 minrtt:30.121                          
1663210548.492081 tcp   ESTAB    0      219912          192.168.10.2:34678 192.168.3.1:5101 users:(("iperf3",pid=32489,fd=6)) timer:(on,072ms,0) uid:20001 ino:1131943 sk:21ee 1663210548.492092 	 ts sack lia wscale:7,7 rto:232 rtt:31.659/0.74 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:158 bytes_sent:494125 bytes_acked:277070 segs_out:358 segs_in:84 data_segs_out:355 send 57013551bps lastrcv:252 pacing_rate 114026200bps delivery_rate 17146216bps delivered:200 busy:220ms sndbuf_limited:52ms(23.6%) unacked:156 rcv_space:14280 rcv_ssthresh:64108 notsent:2856 minrtt:30.198
1663210548.492103 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f0:52887 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,748ms,0) uid:20001 ino:1131942 sk:21ef 1663210548.492114 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15140504 lastrcv:15140504 lastack:15140504 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                       
1663210548.492125 tcp   ESTAB    0      270156 192.168.20.2%enp6s0f1:45469 192.168.4.1:5101 users:(("iperf3",pid=32489,fd=4)) timer:(on,064ms,0) uid:20001 ino:1131942 sk:21f0 1663210548.492139 	 ts sack lia wscale:7,7 rto:240 rtt:36.139/1.487 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:192 bytes_sent:577176 bytes_acked:307021 segs_out:411 segs_in:96 data_segs_out:409 send 60693655bps lastsnd:20 lastrcv:224 lastack:20 pacing_rate 121386464bps delivery_rate 29221280bps delivered:218 busy:188ms unacked:192 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.194                 
