Date_and_Time,Session_Time,rate,total_rate,sequences,sent,lost,util,old_util,thpt,loss_rate
Sep 16 17:59:08,[760108.114630],1133455027,1133455027,1618290346-1618648050,247,0,35229268000,140917072,6063096,0
Sep 16 17:59:09,[760108.214496],1079593422,1079593422,1618876786-1619291330,286,0,33718944000,134875776,6912040,0
Sep 16 17:59:09,[760108.315112],1079734322,1079734322,1619539138-1619631402,63,0,33722904000,134891616,1475328,0
Sep 16 17:59:09,[760108.597711],1133721037,1133721037,1619789026-1620226178,301,0,35236712000,140946848,7197793,0
Sep 16 17:59:09,[760108.597728],1025747607,1025747607,1620226178-1620681194,314,0,32201512000,128806048,7222289,0
Sep 16 17:59:09,[760108.597737],1133721037,1133721037,1620681194-1621105506,293,0,35236712000,140946848,7100177,0
Sep 16 17:59:09,[760108.597746],1025747607,1025747607,1621105506-1621483186,260,0,32201512000,128806048,6218082,0
Sep 16 17:59:09,[760108.696324],1079902982,1079902982,1621768370-1622164594,273,0,33727646000,134910584,6606457,0
Sep 16 17:59:09,[760108.793714],1080100242,1080100242,1622395426-1622786386,270,0,33733190000,134932760,6672583,0
Sep 16 18:03:19,[760358.212436],530000,530000,2248795446-2248797415,1,0,35464000,141856,2675,0
Sep 16 18:03:19,[760358.531494],530000,530000,2248797479-2248799015,1,0,35464000,141856,7304,0
Sep 16 18:03:24,[760363.526940],530000,530000,2248799079-2248800551,1,0,35464000,141856,314,0
Sep 16 18:04:01,[760400.440484],1134105252,1134105252,1623081298-1623320786,165,0,35247456000,140989824,3709304,0
Sep 16 18:04:01,[760400.440493],1026095232,1026095232,1623320786-1623322258,1,0,32211334000,128845336,11,0
Sep 16 18:04:01,[760400.440502],1134105252,1134105252,1623322258-1623323730,1,0,35247456000,140989824,352,0
Sep 16 18:04:01,[760400.440511],1026095232,1026095232,1623323730-1623325234,1,0,32211334000,128845336,8,0
Sep 16 18:04:58,[760457.928919],1080325106,1080325106,1623325458-1624062882,509,0,33739510000,134958040,12829,0
Sep 16 18:04:58,[760458.037746],1080578708,1080578708,1624395170-1624888090,340,0,33746640000,134986560,7028825,0
Sep 16 18:04:59,[760458.341482],1026549773,1026549773,1625427226-1626082842,452,0,32224174000,128896696,8801366,0
Sep 16 18:04:59,[760458.341492],1134607643,1134607643,1626082842-1626864762,540,0,35261510000,141046040,13318571,0
Sep 16 18:04:59,[760458.341501],1026549773,1026549773,1626864762-1627593370,503,0,32224174000,128896696,12354864,0
Sep 16 18:04:59,[760458.341509],1134607643,1134607643,1627593370-1628296746,485,0,35261510000,141046040,9615268,0
Sep 16 18:04:59,[760458.442403],1080859788,1080859788,1628754402-1629605098,587,0,33754540000,135018160,13684349,0
Sep 16 18:04:59,[760458.741062],1026816803,1026816803,1630038762-1630743850,486,0,32231720000,128926880,10668202,0
Sep 16 18:04:59,[760458.741074],1134902773,1134902773,1630743850-1631419810,466,0,35269764000,141079056,10262943,0
Sep 16 18:04:59,[760458.741083],1026816803,1026816803,1631419810-1632273042,589,0,32231720000,128926880,13695254,0
Sep 16 18:04:59,[760458.741096],1134902773,1134902773,1632273042-1632989802,495,0,35269764000,141079056,10880276,0
